Query,Intent,Aggregation,Paid Status,split
What has bill's windsurf shop paid us so far This year to date?,Sales,Total,TRUE,train
What are my expenses for the Last 30 days?,Expense,Total,None,train
What are my expenses for the This week to date?,Expense,Total,None,train
"As of Last quarter, what was our net income?",Sales,Total,None,train
How much did we spend on repair Last year?,Expense,Total,None,train
What was the most recent invoice for concrete?,Invoice,Max,None,train
What was the min invoice amount for rock fountain?,Sales,Min,None,train
Show all transactions with rondonuwu fruit and vegi,Invoice,Count,None,train
What are my AP Last 7 days?,Account Payable,Total,None,train
What was our total spend for pam seitz in the today?,Expense,Total,None,train
What was the lowest invoice I received from robertson & associate?,Bill,Min,None,test
"As of This month to date, how many invoices for duke basketball camp remained unpaid?",Invoice,Count,FALSE,train
What was the first invoice amount for plants and soil in This fiscal year to date?,Sales,Min,None,train
What was our total income from amy's bird sanctuary in This year to date?,Sales,Total,None,train
"today, what are my account receivable?",Account Receivables,Total,None,train
"In the This week to date, what has been my min sales from barnett design?",Sales,Min,None,train
How many kookies by kathy invoices have yet to be paid?,Invoice,Count,FALSE,test
How much credit does rago travel agency have Last month?,Sales,Total,FALSE,train
What was the lowest invoice amount for office expense?,Sales,Min,None,train
"This year, how many invoices have been paid?",Invoice,Count,TRUE,train
What are my expenses for the This year to date?,Expense,Total,None,train
What was our Net Income as of This fiscal year?,Sales,Total,None,train
How many invoices have we sent to 0969 ocean view road?,Invoice,Count,None,test
What are my AR Last quarter?,Account Receivables,Total,None,train
What are my account receivable This year to date?,Account Receivables,Total,None,train
What are my expenses for the This year to date?,Expense,Total,None,train
How much money does gevelber photography still owe?,Sales,Total,FALSE,train
"This month to date, how much did we pay bob's burger joint?",Expense,Total,TRUE,train
How much has sonnenschein family store paid us Last year?,Sales,Total,TRUE,train
What was the most recent invoice for kookies by kathy?,Invoice,Max,None,train
How much money did we make Last quarter?,Sales,Total,None,train
"This quarter, what was our smallest expense?",Expense,Min,None,train
How much money did we make Last month?,Sales,Total,None,train
How much money have we paid to brosnahan insurance agency This month to date?,Expense,Total,TRUE,train
Display all of kate whelan's transactions,Invoice,Count,None,test
What are my highest sales by account?,Sales,Max,None,train
What was our total income from shara barnett in This month to date?,Sales,Total,None,train
"As of Last 30 days, how many invoices for 55 twin lane were still unpaid?",Invoice,Count,FALSE,train
How many sod did I sell This fiscal year?,Invoice,Count,None,train
What was our smallest expense This week to date?,Expense,Min,None,train
Display all transactions involving pye's cake,Invoice,Count,None,test
What is rago travel agency credit for This week to date?,Sales,Total,FALSE,train
What is my total bill for squeaky kleen car wash?,Bill,Total,None,train
How much money have we paid to hall properties This year?,Expense,Total,TRUE,train
What was our greatest expense yesterday?,Expense,Max,None,test
When was the last time travis waldron paid you?,Invoice,Max,TRUE,train
Number of invoices created for uncategorized asset?,Invoice,Count,None,train
"Last year, how many invoices have been paid?",Invoice,Count,TRUE,train
"As of This week to date, what was our net income?",Sales,Total,None,train
What are my AP This week to date?,Account Payable,Total,None,train
"In the This week to date, how many rocks did I sell?",Invoice,Count,None,train
What are my expenses for the This fiscal year?,Expense,Total,None,train
"Since Last 12 months, how many invoices have gone unpaid?",Invoice,Count,FALSE,train
What was our smallest expense This quarter to date?,Expense,Min,None,train
How much money did we make Last 12 months?,Sales,Total,None,train
What are my AP This year?,Account Payable,Total,None,train
How much money did we make Last 30 days?,Sales,Total,None,train
"This fiscal year to date, how much has 0969 ocean view road paid us?",Sales,Total,TRUE,test
"Last quarter, what are my account receivable?",Account Receivables,Total,None,train
What was the mean invoice amount for travel in Last 7 days?,Sales,Average,None,train
How much credit does 0969 ocean view road have This week to date?,Sales,Total,FALSE,train
What was our smallest expense yesterday?,Expense,Min,None,train
What was the min invoice I received from chin's gas and oil?,Bill,Min,None,test
What was our smallest expense This year to date?,Expense,Min,None,train
"Last 12 months, how many invoices have been paid?",Invoice,Count,TRUE,train
Who has the lowest money outstanding?,Invoice,Min,None,test
When was the first time we billed for design,Invoice,Min,None,train
"As of Last 12 months, how many invoices for diego rodriguez were still outstanding?",Invoice,Count,FALSE,test
What is my min invoice from fidelity?,Bill,Min,None,test
What is my mean revenue for rondonuwu fruit and vegi in the This year to date?,Sales,Average,None,train
What were my outgoings during the Last 12 months?,Expense,Total,None,train
What are my first sales by customer?,Sales,Min,None,train
jeff's jalopies has received how many invoices?,Invoice,Count,None,train
What is my total revenue for kate whelan in the Last 30 days?,Sales,Total,None,train
"As of Last 30 days, how many invoices for paulsen medical supply were still unpaid?",Invoice,Count,FALSE,train
Display the total number of transactions with mark cho,Invoice,Count,None,train
"In the Last 7 days, how many design did I sell?",Invoice,Count,None,train
"yesterday, how much has shara barnett paid us?",Sales,Total,TRUE,test
What was our greatest expense This fiscal year?,Expense,Max,None,test
What were my expenses in the This quarter?,Expense,Total,None,train
"This quarter to date, how many invoices have been paid?",Invoice,Count,TRUE,train
What was our Net Income as of Last fiscal year?,Sales,Total,None,train
How much credit does sonnenschein family store have Last quarter?,Sales,Total,FALSE,train
How many diego rodriguez invoices haven't been paid yet?,Invoice,Count,FALSE,train
What were our total payroll expenses This quarter?,Expense,Total,None,train
How much has barnett design been paying us each month?,Sales,Total,None,train
"In the Last year, what has been my mean revenue from kate whelan?",Sales,Average,None,test
What are my account receivable This fiscal year?,Account Receivables,Total,None,train
What was the lowest invoice I received from diego's road warrior bodyshop?,Bill,Min,None,test
What was the first invoice for 0969 ocean view road?,Invoice,Min,None,train
How much money have we paid to norton lumber and building materials Last 7 days?,Expense,Total,TRUE,train
diego rodriguez has received how many invoices?,Invoice,Count,None,train
What were our total payroll expenses Last quarter?,Expense,Total,None,train
How much credit does amy's bird sanctuary have Last fiscal year?,Sales,Total,FALSE,train
What is my last revenue for 55 twin lane in the Last 12 months?,Sales,Max,None,train
What is my min sales for 55 twin lane in the This year to date?,Sales,Min,None,test
What was the most recent invoice for bill's windsurf shop?,Invoice,Max,None,train
How much we received from maintenance and repair?,Invoice,Total,None,train
"As of Last quarter, how many invoices for 55 twin lane remained unpaid?",Invoice,Count,FALSE,train
Show all transactions with pye's cakes,Invoice,Count,None,train
When did sonnenschein family store last pay?,Invoice,Max,None,train
What were my expenses in the Last 12 months?,Expense,Total,None,train
What's the total number of invoices we've issued wedding planning by whitney?,Invoice,Count,None,train
0969 ocean view road has received how many invoices?,Invoice,Count,None,train
What is the balance due from travis waldron?,Sales,Total,FALSE,test
How much money did we make This month to date?,Sales,Total,None,train
What is the balance owed by shara barnett?,Sales,Total,FALSE,test
How much has bill's windsurf shop paid us This week to date?,Sales,Total,TRUE,train
How much money have we paid to elli equipment rental This month?,Expense,Total,TRUE,train
"In the This week to date, what has been my lowest revenue from mark cho?",Sales,Min,None,test
What are my account payable This fiscal year?,Account Payable,Total,None,test
What are my total sales by vendor?,Sales,Total,None,train
When did 0969 ocean view road first pay?,Invoice,Min,None,train
"As of Last 12 months, how many invoices for kookies by kathy remained unpaid?",Invoice,Count,FALSE,train
How many weiskopf consulting invoices have yet to be paid?,Invoice,Count,FALSE,test
"This week, what are my account receivable?",Account Receivables,Total,None,train
What was the most recent invoice for jeff's jalopies?,Invoice,Max,None,train
Who are my outstanding debtors?,Invoice,List,FALSE,train
What was the highest invoice amount for professional fees?,Sales,Max,None,train
How much money did we make This quarter to date?,Sales,Total,None,train
Show all of diego rodriguez's transactions,Invoice,Count,None,train
"Last 7 days, what are my account payable?",Account Payable,Total,None,test
What's the average contract size for the Sales team?,Sales,Average,None,train
What were our total payroll expenses This year?,Expense,Total,None,train
When was the last time geeta kalapatapu paid you?,Invoice,Max,TRUE,train
"Last 30 days, how many pest control did I sell?",Invoice,Count,None,train
"Last fiscal year, how many invoices were paid?",Invoice,Count,TRUE,train
Show number of transactions with wedding planning by whitney,Invoice,Count,None,train
What are my account receivable This quarter to date?,Account Receivables,Total,None,train
How much has duke basketball camp paid us Last fiscal year?,Sales,Total,TRUE,train
What is my highest revenue for jeff's jalopies in the This week to date?,Sales,Max,None,train
"Last 30 days, what are my AR?",Account Receivables,Total,None,test
What was our greatest expense Last 12 months?,Expense,Max,None,test
"This week to date, what was our smallest expense?",Expense,Min,None,train
When was the first time we billed for equipment rental?,Expense,Min,None,train
What was our Net Expenses?,Expense,Total,None,train
When did weiskopf consulting first pay?,Invoice,Min,None,train
What were my expenses in the Last quarter?,Expense,Total,None,train
How much did we pay tania's nursery the Last month?,Expense,Total,TRUE,train
"In the Last 7 days, what has been my last sales from cool cars?",Sales,Max,None,train
When was amy's bird sanctuary last payment?,Invoice,Max,TRUE,train
What were my outgoings during the Last 30 days?,Expense,Total,None,train
Who are my outstanding creditors?,Invoice,List,FALSE,test
What was our smallest expense yesterday?,Expense,Min,None,train
Show how many transactions you've had with paulsen medical supply,Invoice,Count,None,test
What are my total sales by customer?,Sales,Total,None,train
How much we received from miscellaneous in This quarter?,Invoice,Total,None,train
"Since This week, how many invoices have been past due?",Invoice,Count,FALSE,train
What was the last invoice I received from cal telephone?,Bill,Max,None,test
Display all of 0969 ocean view road's transactions,Invoice,Count,None,test
What is the balance due from shara barnett?,Sales,Total,FALSE,test
What was the total invoice amount for refund?,Sales,Total,None,train
Who are my outstanding debtors?,Invoice,List,FALSE,train
Show all of john melton's transactions,Invoice,Count,None,train
How much have we been spending on maintenance and repair?,Expense,Total,None,train
How much we received from stationery in Last 12 months?,Invoice,Total,None,train
How much revenue came through video games by dan last month?,Sales,Total,None,train
How much did we pay hicks hardware the Last month?,Expense,Total,TRUE,train
Number of invoices created for loan payable in This quarter to date?,Invoice,Count,None,train
Who are my outstanding debtors?,Invoice,List,FALSE,train
What was the min invoice I received from computer by jenni?,Bill,Min,None,test
How much revenue came through cool cars last month?,Sales,Total,None,train
What was our smallest expense This fiscal year to date?,Expense,Min,None,train
Who has the most money outstanding?,Invoice,Max,FALSE,test
When was barnett design last payment?,Invoice,Max,TRUE,train
Display all of sonnenschein family store's transactions,Invoice,Count,None,test
What was the mean invoice amount for 55 twin lane?,Sales,Average,None,train
How much revenue came through jeff's jalopies last month?,Sales,Total,None,train
"As of This week, how many invoices for paulsen medical supplies were still unpaid?",Invoice,Count,FALSE,train
How much money did we make This year to date?,Sales,Total,None,train
When did travis waldron last pay?,Invoice,Max,None,train
What is the balance due from pye's cake?,Sales,Total,FALSE,test
What was our Net Income as of This quarter to date?,Sales,Total,None,train
How many sod did I sell Last 12 months?,Invoice,Count,None,train
What are my AP Last fiscal year?,Account Payable,Total,None,train
"This week, how much has travis waldron paid us?",Sales,Total,TRUE,test
When was the first time we billed for service,Invoice,Min,None,train
Who are my outstanding creditors?,Invoice,List,FALSE,test
How many invoices are past due since This quarter to date?,Invoice,Count,FALSE,train
What are my account payable today?,Account Payable,Total,None,test
What is my mean invoice from mahoney mugs?,Bill,Average,None,test
What's the average contract size for the Sales team?,Sales,Average,None,train
How much has dylan sollfrank been paying us each month?,Sales,Total,None,train
How many invoices have we sent to amy's bird sanctuary?,Invoice,Count,None,test
When was the last time gevelber photography paid you?,Invoice,Max,TRUE,train
What was our biggest expense Last quarter?,Expense,Max,None,train
How much money did we make today?,Sales,Total,None,train
What is my first sales for sonnenschein family store in the This week?,Sales,Min,None,test
How many bill's windsurf shop invoices are still outstanding?,Invoice,Count,FALSE,test
How much we received from rent or lease in This week?,Invoice,Total,None,train
What are my AP This quarter?,Account Payable,Total,None,train
"As of Last month, what was our net income?",Sales,Total,None,train
"In the This fiscal year, what has been my highest revenue from jeff's jalopies?",Sales,Max,None,test
What was the first invoice amount for hours?,Sales,Min,None,train
dukes basketball camp has received how many invoices?,Invoice,Count,None,train
"Last 30 days, what are my account receivable?",Account Receivables,Total,None,train
How much has freeman sporting good been paying us each month?,Sales,Total,None,train
How much did we spend on fountains and garden lighting Last year?,Expense,Total,None,train
How much credit does bill's windsurf shop have Last 7 days?,Sales,Total,FALSE,train
barnett design has received how many invoices?,Invoice,Count,None,train
"This week, how many invoices have been paid?",Invoice,Count,TRUE,train
Did we receive payment from Stripe partnership last year?,Sales,Count,None,train
What was the first invoice amount for deck and patio?,Sales,Min,None,train
"Last 12 months, what was our smallest expense?",Expense,Min,None,train
How much has john melton been paying us each month?,Sales,Total,None,train
"Since This quarter, how many invoices have gone unpaid?",Invoice,Count,FALSE,train
"Last month, what are my account receivable?",Account Receivables,Total,None,train
How much did we pay edd the This week?,Expense,Total,TRUE,train
How much money have we paid to tony rondonuwu Last fiscal year?,Expense,Total,TRUE,train
What is pye's cakes credit for This month to date?,Sales,Total,FALSE,train
How many invoices are still oustanding for diego rodriguez as of Last 7 days?,Invoice,Count,FALSE,train
What has geeta kalapatapu paid us so far This year to date?,Sales,Total,TRUE,train
What was our total spend for bob's burger joint in the Last 12 months?,Expense,Total,None,train
Number of invoices created for visa in Last 7 days?,Invoice,Count,None,train
Who has the lowest money outstanding?,Invoice,Min,None,test
How much revenue came through bill's windsurf shop last month?,Sales,Total,None,train
Display all of video games by dan's transactions,Invoice,Count,None,test
"yesterday, how many soil did I sell?",Invoice,Count,None,train
What are the names of my outstanding debtors?,Invoice,List,FALSE,test
How much did we pay squeaky kleen car wash the Last 7 days?,Expense,Total,TRUE,train
red rock diner has received how many invoices?,Invoice,Count,None,train
"This quarter to date, what are my account payable?",Account Payable,Total,None,test
"This quarter to date, how much did we pay computers by jenni?",Expense,Total,TRUE,train
What is my total bill for diego's road warrior bodyshop?,Bill,Total,None,train
When was the last time red rock diner paid you?,Invoice,Max,TRUE,train
What was the mean invoice amount for utilities?,Sales,Average,None,train
What was the most recent invoice for pest control?,Invoice,Max,None,train
What is the balance due from geeta kalapatapu?,Sales,Total,FALSE,test
What was the most recent invoice for installation?,Invoice,Max,None,train
What were my outgoings during the yesterday?,Expense,Total,None,train
What was our smallest expense This month?,Expense,Min,None,train
Who has the lowest money outstanding?,Invoice,Min,None,test
